epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6072,0.23005,0.35095,0.89508,0.72158,0.60276,0.67704,0.58844,0.57959,1.01625,1.00958,0.000176638,0.000176638,0.000176638
43,6216.69,0.22907,0.33679,0.89362,0.72034,0.62222,0.68094,0.58765,0.58379,0.99961,1.02075,0.000171556,0.000171556,0.000171556
44,6361.12,0.22639,0.33824,0.89464,0.67713,0.64285,0.67993,0.58704,0.58709,1.0237,1.02021,0.000166474,0.000166474,0.000166474
45,6505.55,0.22285,0.3257,0.89026,0.72183,0.62169,0.68007,0.59203,0.57857,0.98875,1.0157,0.000161392,0.000161392,0.000161392
46,6650.21,0.22157,0.32475,0.89271,0.70842,0.61762,0.67453,0.58414,0.58073,1.03187,1.01417,0.00015631,0.00015631,0.00015631
47,6794.58,0.21747,0.31449,0.89028,0.70345,0.62102,0.67597,0.58472,0.58292,1.01716,1.02114,0.000151228,0.000151228,0.000151228
48,6938.95,0.21597,0.31067,0.88752,0.71621,0.6405,0.69568,0.60636,0.56411,0.97248,1.00903,0.000146146,0.000146146,0.000146146
49,7083.75,0.21352,0.30587,0.88957,0.71197,0.65162,0.69612,0.60691,0.56025,0.97542,0.99997,0.000141064,0.000141064,0.000141064
50,7228.54,0.21236,0.30229,0.88481,0.74186,0.63232,0.70575,0.61404,0.55764,0.95692,0.9961,0.000135982,0.000135982,0.000135982
51,7373.24,0.2092,0.29989,0.88578,0.73093,0.63901,0.69501,0.6073,0.55104,0.96516,0.99671,0.0001309,0.0001309,0.0001309
52,7517.74,0.20751,0.29417,0.88767,0.7285,0.65468,0.70765,0.61878,0.55202,0.94309,0.99903,0.000125818,0.000125818,0.000125818
53,7662.84,0.20568,0.28887,0.88605,0.7642,0.64033,0.72256,0.635,0.5435,0.91249,0.9892,0.000120736,0.000120736,0.000120736
54,7807.6,0.2024,0.28345,0.88393,0.76906,0.63926,0.72421,0.63391,0.55502,0.91475,1.00191,0.000115654,0.000115654,0.000115654
55,7952.02,0.19947,0.27823,0.88401,0.76495,0.63432,0.71587,0.62771,0.54147,0.91326,0.99543,0.000110572,0.000110572,0.000110572
56,8096.5,0.20159,0.27601,0.88465,0.72658,0.66195,0.72267,0.63216,0.54323,0.89476,0.99421,0.00010549,0.00010549,0.00010549
57,8242.6,0.19798,0.26876,0.88257,0.75295,0.6576,0.72682,0.63857,0.5359,0.89038,0.98644,0.000100408,0.000100408,0.000100408
58,8387.23,0.19735,0.2711,0.88107,0.72281,0.66882,0.72124,0.63391,0.54694,0.89544,0.99564,9.5326e-05,9.5326e-05,9.5326e-05
59,8531.52,0.1916,0.2597,0.8764,0.75927,0.6597,0.73086,0.64205,0.53869,0.8839,0.98651,9.0244e-05,9.0244e-05,9.0244e-05
60,8676.14,0.19196,0.25496,0.8783,0.75472,0.67521,0.73225,0.64497,0.54626,0.87914,0.99325,8.5162e-05,8.5162e-05,8.5162e-05
61,8820.81,0.18998,0.25222,0.8788,0.76783,0.66095,0.72757,0.63844,0.54012,0.89985,0.98928,8.008e-05,8.008e-05,8.008e-05
62,8965.06,0.18947,0.25484,0.87885,0.76772,0.66318,0.73387,0.64342,0.53725,0.86941,0.98899,7.4998e-05,7.4998e-05,7.4998e-05
63,9109.49,0.18557,0.24585,0.87847,0.75865,0.68009,0.73416,0.64977,0.52682,0.8739,0.97589,6.9916e-05,6.9916e-05,6.9916e-05
64,9254.05,inf,0.23953,0.87307,0.75942,0.6797,0.73709,0.65322,0.52251,0.85746,0.97335,6.4834e-05,6.4834e-05,6.4834e-05
65,9398.7,0.18183,0.23684,0.87303,0.78448,0.66503,0.73877,0.65409,0.51684,0.85005,0.96992,5.9752e-05,5.9752e-05,5.9752e-05
66,9544.58,0.42126,0.5633,0.96437,0.77245,0.6765,0.73874,0.65394,0.50587,0.82126,0.96495,5.467e-05,5.467e-05,5.467e-05
67,9688.65,0.40528,0.50148,0.95347,0.79851,0.66419,0.75095,0.6673,0.50467,0.80297,0.96097,4.9588e-05,4.9588e-05,4.9588e-05
68,9833.07,0.39453,0.46688,0.94284,0.75665,0.69581,0.75281,0.66976,0.49918,0.79925,0.95733,4.4506e-05,4.4506e-05,4.4506e-05
69,9977.54,0.39004,0.44383,0.93948,0.77928,0.69607,0.75664,0.67546,0.49499,0.79091,0.95337,3.9424e-05,3.9424e-05,3.9424e-05
70,10121.9,0.37624,0.41816,0.92835,0.78184,0.70764,0.7619,0.68109,0.49062,0.78396,0.95008,3.4342e-05,3.4342e-05,3.4342e-05
71,10266.4,0.37224,0.40387,0.92586,0.76719,0.70644,0.76195,0.68217,0.48803,0.78397,0.94839,2.926e-05,2.926e-05,2.926e-05
72,10410.7,0.36648,0.39188,0.92416,0.79195,0.68956,0.76273,0.68131,0.48928,0.78415,0.94696,2.4178e-05,2.4178e-05,2.4178e-05
73,10554.8,0.36228,0.37657,0.92339,0.78611,0.69473,0.76271,0.68237,0.48638,0.78276,0.9445,1.9096e-05,1.9096e-05,1.9096e-05
74,10699.4,0.35867,0.36797,0.91645,0.76877,0.7097,0.76062,0.68267,0.48159,0.77846,0.94219,1.4014e-05,1.4014e-05,1.4014e-05
75,10843.7,0.35651,0.35753,0.91526,0.76633,0.71429,0.76,0.68178,0.47933,0.7755,0.94054,8.932e-06,8.932e-06,8.932e-06
