epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.46,0.97744,1.0974,1.36502,0.41268,0.85642,0.4338,0.23975,1.29008,2.19639,1.84616,0.000554181,0.000554181,0.000554181
2,219.721,0.94113,0.78602,1.3114,0.27674,0.76671,0.28032,0.11797,1.59708,3.20101,2.24236,0.00105491,0.00105491,0.00105491
3,327.178,0.88642,0.71512,1.28259,0.45669,0.94031,0.49062,0.33648,0.97257,1.85641,1.64482,0.00150063,0.00150063,0.00150063
4,434.183,0.81164,0.66054,1.23035,0.45028,0.92483,0.47931,0.34476,0.93296,2.03784,1.52389,0.00141945,0.00141945,0.00141945
5,541.379,0.7334,0.58865,1.17588,0.47566,0.93658,0.4891,0.35964,0.96135,1.99855,1.53142,0.00133693,0.00133693,0.00133693
6,648.447,0.67934,0.54917,1.14604,0.44545,0.91974,0.46999,0.34771,0.8581,1.98807,1.4469,0.00125442,0.00125442,0.00125442
7,755.435,0.62886,0.512,1.11441,0.47939,0.83219,0.47157,0.34485,0.87669,2.32186,1.43142,0.0011719,0.0011719,0.0011719
8,862.269,0.58115,0.48411,1.08729,0.47914,0.96256,0.49958,0.39359,0.77822,1.30182,1.42448,0.00108938,0.00108938,0.00108938
9,969.233,0.55832,0.46642,1.07942,0.47956,0.92588,0.48935,0.39578,0.74305,1.79755,1.36048,0.00100687,0.00100687,0.00100687
10,1076.19,0.52272,0.43114,1.05552,0.37831,0.96751,0.46596,0.3697,0.75097,2.79049,1.351,0.000924352,0.000924352,0.000924352
11,1184.62,0.61047,0.5458,1.23708,0.45627,0.84055,0.4757,0.39994,0.63591,2.22784,1.21209,0.000841835,0.000841835,0.000841835
12,1291.26,0.5307,0.44807,1.17681,0.44717,0.88947,0.44497,0.38225,0.58104,4.21407,1.17961,0.000759318,0.000759318,0.000759318
13,1397.72,0.48921,0.39515,1.13604,0.37871,0.94985,0.42694,0.36853,0.57533,4.35695,1.17483,0.000676802,0.000676802,0.000676802
14,1504.22,0.46178,0.3489,1.1142,0.43946,0.98732,0.57405,0.50377,0.5746,1.90034,1.171,0.000594286,0.000594286,0.000594286
15,1610.77,0.43267,0.32469,1.09059,0.46851,0.90805,0.47574,0.42302,0.50888,3.77724,1.07652,0.000511769,0.000511769,0.000511769
16,1717.09,0.39951,0.29079,1.06449,0.4562,0.7969,0.434,0.37936,0.56118,4.2553,1.12026,0.000429253,0.000429253,0.000429253
17,1823.78,0.38245,0.26562,1.05678,0.42305,0.8446,0.43549,0.38683,0.48368,4.17176,1.04805,0.000346736,0.000346736,0.000346736
18,1930.39,0.36115,0.24236,1.03115,0.47885,0.7963,0.44116,0.39147,0.502,4.1211,1.07136,0.00026422,0.00026422,0.00026422
19,2036.96,0.33946,0.22288,1.02199,0.46922,0.87741,0.47735,0.42982,0.48301,3.46284,1.06284,0.000181703,0.000181703,0.000181703
